node1,node2
TNMD,Q6IBV1
TNMD,CD33
TNMD,HHLA2
TNMD,F209A
TNMD,MYG1
TNMD,FCGR1
TNMD,B2RA75
TNMD,TMM79
TNMD,GGT6
TNMD,AR13B
TNMD,BNIP3
TNMD,AMGO1
TNMD,T106A
TNMD,A0A8I5QEB2
DPM1,MEOX2
PACE1,GBRL2
PACE1,THIOM
PACE1,GBRL1
PACE1,B4DST7
A0A1B0GUP7,P4HA3
FUCO2,WNT11
FUCO2,Q4LE60
FUCO2,HXA1
FUCO2,NUFP2
FUCO2,PIN1
FUCO2,GUCD1
FUCO2,LCE1E
FUCO2,LCE1A
FUCO2,LCE4A
FUCO2,VWC2
FUCO2,KRA53
FUCO2,LCE1B
FUCO2,KRA52
FUCO2,KR412
FUCO2,KR101
NFYA,NFYC
NFYA,CSK21
NFYA,NFYB
NFYA,Q96FF1
NFYA,ZC3HA
NFYA,VEZF1
NFYA,PO2F1
NFYA,POGZ
NFYA,LC7L2
NFYA,DVL3
NFYA,TF2AA
NFYA,Q9NSS6
NFYA,QRIC1
NFYA,UBL5
NFYA,B4DST7
NPAL3,MANBL
NPAL3,CD79A
NPAL3,C9JCY4
NPAL3,A0A0U5J797
NPAL3,VMA21
NPAL3,GPX8
NPAL3,A0A0A0MS29
NPAL3,VATL
NPAL3,CXA5
ENPP4,TM147
ENPP4,BI1
KRIT1,B4DIZ2
Q5DR82,Q5DR82
Q5DR82,MEOX1
Q5DR82,NFYC
Q5DR82,IMA4
Q5DR82,MEOX2
Q5DR82,PLK3
Q5DR82,E7ES87
Q5DR82,IMA6
Q5DR82,DCP1A
Q5DR82,RDM1
BAD,ACTN2
BAD,K1H1
BAD,B2CL2
BAD,B2CL1
AMPL,ZNF76
AMPL,MARE3
AMPL,CBX5
AMPL,Q7Z3W2
AMPL,CBX3
AMPL,PIHD2
AMPL,USF1
AMPL,Q96AF9
AMPL,Q9NSS6
AOC1,ZC3HA
AOC1,POGZ
AOC1,TIAR
AOC1,E5RHC2
AOC1,FOXH1
AOC1,TLX3
AOC1,RBPS2
AOC1,DAZP2
AOC1,KRA81
HECW1,VAX1
MD1L1,LOX5
MD1L1,Q9NYC6
MD1L1,ATG5
MD1L1,GPKOW
MD1L1,LNX1
MD1L1,NEBL
MD1L1,PIBF1
MD1L1,A8K932
MD1L1,SYT17
MD1L1,CDC37
MD1L1,LENG1
MD1L1,RNF8
MD1L1,CDK18
MD1L1,LEGL
MD1L1,CAN7
MD1L1,I6L9C3
MD1L1,UBP15
MD1L1,TSG10
MD1L1,TRI29
MD1L1,MFAP1
MD1L1,B7Z722
MD1L1,A0A384MR00
MD1L1,TPM3
MD1L1,A0A024RCJ8
MD1L1,C19L2
MD1L1,E5RHC2
MD1L1,T22D3
MD1L1,A0A140VKF4
MD1L1,MD2L1
MD1L1,A0A024R6M6
MD1L1,RBTN1
MD1L1,F90A1
MD1L1,CCD57
MD1L1,CMIP4
MD1L1,B4DST7
MD1L1,Q2TB68
B4DIC4,F168A
B4DIC4,Q59FA0
B4DIC4,DMRT3
B4DIC4,PIT1
B4DIC4,ANS1A
B4DIC4,PITX1
B4DIC4,A8K161
B4DIC4,PCH2
B4DIC4,RFOX1
